date,home_team,away_team,home_win_rate,away_win_rate,home_goal_diff,away_goal_diff,home_points,away_points
2021-07-11 21:15:00+00:00,Cuiaba,Ceara,0.2631578947368421,0.2894736842105263,-3,1,47,50
2021-07-11 21:15:00+00:00,Flamengo,Chapecoense-sc,0.5526315789473685,0.02631578947368421,33,-40,71,15
2021-07-11 23:30:00+00:00,Fortaleza EC,Corinthians,0.4473684210526316,0.39473684210526316,-1,4,58,57
2021-07-17 20:00:00+00:00,Sao Paulo,Fortaleza EC,0.2894736842105263,0.4473684210526316,-8,-1,48,58
2021-07-17 20:00:00+00:00,Ceara,Atletico Paranaense,0.2894736842105263,0.34210526315789475,1,-4,50,47
2021-07-17 22:00:00+00:00,Corinthians,Atletico-MG,0.39473684210526316,0.6842105263157895,4,33,57,84
2021-07-18 00:00:00+00:00,Fluminense,Gremio,0.39473684210526316,0.3157894736842105,0,-7,54,43
2021-07-18 14:00:00+00:00,Chapecoense-sc,Cuiaba,0.02631578947368421,0.2631578947368421,-40,-3,15,47
2021-07-18 19:00:00+00:00,Atletico Goianiense,Palmeiras,0.34210526315789475,0.5263157894736842,-3,15,53,66
2021-07-18 21:15:00+00:00,Bahia,Flamengo,0.2894736842105263,0.5526315789473685,-9,33,43,71
2021-07-18 23:30:00+00:00,Internacional,Juventude,0.3157894736842105,0.2894736842105263,2,-8,48,46
2021-07-18 23:30:00+00:00,RB Bragantino,Santos,0.3684210526315789,0.3157894736842105,9,-5,56,50
2021-07-19 23:00:00+00:00,America Mineiro,Sport Recife,0.34210526315789475,0.23684210526315788,4,-13,53,38
2021-07-21 22:00:00+00:00,Cuiaba,Atletico Goianiense,0.2631578947368421,0.34210526315789475,-3,-3,47,53
2021-07-24 20:00:00+00:00,Gremio,America Mineiro,0.3157894736842105,0.34210526315789475,-7,4,43,53
2021-07-24 22:00:00+00:00,Palmeiras,Fluminense,0.5263157894736842,0.39473684210526316,15,0,66,54
2021-07-25 14:00:00+00:00,Atletico-MG,Bahia,0.6842105263157895,0.2894736842105263,33,-9,84,43
2021-07-25 19:00:00+00:00,Flamengo,Sao Paulo,0.5526315789473685,0.2894736842105263,33,-8,71,48
2021-07-25 19:00:00+00:00,Fortaleza EC,RB Bragantino,0.4473684210526316,0.3684210526315789,-1,9,58,56
2021-07-25 21:15:00+00:00,Santos,Atletico Goianiense,0.3157894736842105,0.34210526315789475,-5,-3,50,53
2021-07-25 21:15:00+00:00,Atletico Paranaense,Internacional,0.34210526315789475,0.3157894736842105,-4,2,47,48
2021-07-25 23:30:00+00:00,Sport Recife,Ceara,0.23684210526315788,0.2894736842105263,-13,1,38,50
2021-07-26 21:00:00+00:00,Juventude,Chapecoense-sc,0.2894736842105263,0.02631578947368421,-8,-40,46,15
2021-07-26 23:00:00+00:00,Cuiaba,Corinthians,0.2631578947368421,0.39473684210526316,-3,4,47,57
2021-07-31 22:00:00+00:00,Sao Paulo,Palmeiras,0.2894736842105263,0.5263157894736842,-8,15,48,66
2021-07-31 23:00:00+00:00,Internacional,Cuiaba,0.3157894736842105,0.2631578947368421,2,-3,48,47
2021-08-01 00:00:00+00:00,RB Bragantino,Gremio,0.3684210526315789,0.3157894736842105,9,-7,56,43
2021-08-01 19:00:00+00:00,Corinthians,Flamengo,0.39473684210526316,0.5526315789473685,4,33,57,71
2021-08-01 19:00:00+00:00,Atletico-MG,Atletico Paranaense,0.6842105263157895,0.34210526315789475,33,-4,84,47
2021-08-01 21:15:00+00:00,Bahia,Sport Recife,0.2894736842105263,0.23684210526315788,-9,-13,43,38
2021-08-01 21:15:00+00:00,Chapecoense-sc,Santos,0.02631578947368421,0.3157894736842105,-40,-5,15,50
2021-08-01 23:30:00+00:00,Ceara,Fortaleza EC,0.2894736842105263,0.4473684210526316,1,-1,50,58
2021-08-01 23:30:00+00:00,Atletico Goianiense,America Mineiro,0.34210526315789475,0.34210526315789475,-3,4,53,53
2021-08-06 22:00:00+00:00,Sport Recife,RB Bragantino,0.23684210526315788,0.3684210526315789,-13,9,38,56
2021-08-07 21:00:00+00:00,Atletico Paranaense,Sao Paulo,0.34210526315789475,0.2894736842105263,-4,-8,47,48
2021-08-08 00:00:00+00:00,Cuiaba,Bahia,0.2631578947368421,0.2894736842105263,-3,-9,47,43
2021-08-08 00:00:00+00:00,Palmeiras,Fortaleza EC,0.5263157894736842,0.4473684210526316,15,-1,66,58
2021-08-08 19:00:00+00:00,America Mineiro,Fluminense,0.34210526315789475,0.39473684210526316,4,0,53,54
2021-08-08 19:00:00+00:00,Santos,Corinthians,0.3157894736842105,0.39473684210526316,-5,4,50,57
2021-08-08 19:00:00+00:00,Juventude,Atletico-MG,0.2894736842105263,0.6842105263157895,-8,33,46,84
2021-08-08 21:15:00+00:00,Flamengo,Internacional,0.5526315789473685,0.3157894736842105,33,2,71,48
2021-08-08 21:15:00+00:00,Ceara,Atletico Goianiense,0.2894736842105263,0.34210526315789475,1,-3,50,53
